time,actualComX,actualComY,springLegDelta,Phase,footInBaseX,footInBaseY
0.211,0.101204,4.87034,0.0450338,0,0.242362,4.10806,
0.212,0.100918,4.86984,0.0456382,0,0.239464,4.10854,
0.213,0.100633,4.86932,0.0462473,0,0.236571,4.10902,
0.214,0.100347,4.86881,0.0468612,0,0.23368,4.10949,
0.215,0.100061,4.86829,0.0474798,0,0.230793,4.10997,
0.216,0.0997741,4.86777,0.0481032,0,0.22791,4.11045,
0.217,0.0994874,4.86725,0.0487313,0,0.225031,4.11092,
0.218,0.0992005,4.86673,0.0493642,0,0.222155,4.11139,
0.219,0.0989134,4.8662,0.0500017,0,0.219284,4.11186,
0.22,0.098626,4.86567,0.050644,0,0.216416,4.11233,
0.221,0.0983384,4.86514,0.051291,0,0.213553,4.1128,
0.222,0.0980507,4.8646,0.0519426,0,0.210695,4.11327,
0.223,0.0977627,4.86406,0.0525989,0,0.207841,4.11373,
0.224,0.0974746,4.86352,0.0532598,0,0.204992,4.11419,
0.225,0.0971863,4.86297,0.0539253,0,0.202147,4.11465,
0.226,0.0968979,4.86243,0.0545955,0,0.199308,4.11511,
0.227,0.0966093,4.86188,0.0552702,0,0.196473,4.11557,
0.228,0.0963205,4.86132,0.0559496,0,0.193644,4.11602,
0.229,0.0960316,4.86077,0.0566335,0,0.19082,4.11647,
0.23,0.0957426,4.86021,0.0573219,0,0.188001,4.11692,
0.231,0.0954535,4.85965,0.0580148,0,0.185188,4.11736,
0.232,0.0951642,4.85908,0.0587122,0,0.18238,4.1178,
0.233,0.0948749,4.85851,0.0594141,0,0.179578,4.11824,
0.234,0.0945855,4.85794,0.0601205,0,0.176781,4.11868,
0.235,0.0942959,4.85737,0.0608313,0,0.173991,4.11911,
0.236,0.0940063,4.8568,0.0615465,0,0.171206,4.11954,
0.237,0.0937167,4.85622,0.0622661,0,0.168427,4.11996,
0.238,0.0934269,4.85563,0.0629901,0,0.165655,4.12038,
0.239,0.0931372,4.85505,0.0637184,0,0.162889,4.1208,
0.24,0.0928473,4.85446,0.064451,0,0.160129,4.12121,
0.241,0.0925575,4.85387,0.065188,0,0.157375,4.12162,
0.242,0.0922676,4.85328,0.0659291,0,0.154628,4.12202,
0.243,0.0919776,4.85268,0.0666746,0,0.151887,4.12242,
0.244,0.0916877,4.85208,0.0674242,0,0.149153,4.12282,
0.245,0.0913978,4.85148,0.0681781,0,0.146426,4.12321,
0.246,0.0911078,4.85088,0.0689361,0,0.143705,4.12359,
0.247,0.0908179,4.85027,0.0696983,0,0.140992,4.12397,
0.248,0.0905279,4.84966,0.0704645,0,0.138285,4.12435,
0.249,0.090238,4.84904,0.0712349,0,0.135585,4.12472,
0.25,0.0899482,4.84843,0.0720093,0,0.132892,4.12508,
0.251,0.0896583,4.84781,0.0727877,0,0.130206,4.12544,
0.252,0.0893685,4.84718,0.0735701,0,0.127527,4.12579,
0.253,0.0890788,4.84656,0.0743565,0,0.124856,4.12614,
0.254,0.0887891,4.84593,0.0751469,0,0.122192,4.12648,
0.255,0.0884995,4.8453,0.0759411,0,0.119535,4.12682,
0.256,0.0882099,4.84467,0.0767393,0,0.116885,4.12715,
0.257,0.0879204,4.84403,0.0775413,0,0.114243,4.12747,
0.258,0.087631,4.84339,0.0783471,0,0.111608,4.12778,
0.259,0.0873417,4.84274,0.0791567,0,0.108981,4.12809,
0.26,0.0870525,4.8421,0.07997,0,0.106361,4.1284,
0.261,0.0867633,4.84145,0.0807871,0,0.103749,4.12869,
0.262,0.0864743,4.8408,0.0816079,0,0.101145,4.12898,
0.263,0.0861854,4.84014,0.0824323,0,0.0985479,4.12927,
0.264,0.0858966,4.83948,0.0832604,0,0.0959587,4.12954,
0.265,0.085608,4.83882,0.0840921,0,0.0933772,4.12981,
0.266,0.0853194,4.83816,0.0849273,0,0.0908034,4.13007,
0.267,0.0850311,4.83749,0.0857661,0,0.0882375,4.13032,
0.268,0.0847428,4.83682,0.0866084,0,0.0856793,4.13056,
0.269,0.0844547,4.83615,0.0874542,0,0.0831289,4.1308,
0.27,0.0841668,4.83547,0.0883034,0,0.0805864,4.13103,
0.271,0.083879,4.83479,0.089156,0,0.0780517,4.13125,
0.272,0.0835914,4.83411,0.090012,0,0.0755249,4.13146,
0.273,0.0833039,4.83343,0.0908713,0,0.073006,4.13167,
0.274,0.0830167,4.83274,0.091734,0,0.070495,4.13186,
0.275,0.0827296,4.83205,0.0925999,0,0.0679919,4.13205,
0.276,0.0824427,4.83136,0.0934691,0,0.0654968,4.13223,
0.277,0.082156,4.83066,0.0943414,0,0.0630095,4.13239,
0.278,0.0818695,4.82996,0.095217,0,0.0605303,4.13255,
0.279,0.0815832,4.82926,0.0960957,0,0.0580589,4.13271,
0.28,0.0812971,4.82855,0.0969775,0,0.0555955,4.13285,
0.281,0.0810112,4.82784,0.0978625,0,0.0531401,4.13298,
0.282,0.0807255,4.82713,0.0987504,0,0.0506926,4.1331,
0.283,0.0804401,4.82641,0.0996414,0,0.0482531,4.13322,
0.284,0.0801549,4.8257,0.100535,0,0.0458215,4.13332,
0.285,0.0798699,4.82497,0.101432,0,0.0433979,4.13341,
0.286,0.0795852,4.82425,0.102332,0,0.0409822,4.1335,
0.287,0.0793007,4.82352,0.103235,0,0.0385744,4.13357,
0.288,0.0790164,4.82279,0.10414,0,0.0361746,4.13363,
0.289,0.0787324,4.82206,0.105049,0,0.0337826,4.13369,
0.29,0.0784487,4.82132,0.10596,0,0.0313986,4.13373,
0.291,0.0781652,4.82059,0.106874,0,0.0290224,4.13376,
0.292,0.077882,4.81984,0.107791,0,0.0266541,4.13378,
0.293,0.0775991,4.8191,0.10871,0,0.0242936,4.13379,
0.294,0.0773164,4.81835,0.109632,0,0.021941,4.13379,
0.295,0.077034,4.8176,0.110557,0,0.0195961,4.13378,
0.296,0.0767519,4.81684,0.111484,0,0.0172591,4.13376,
0.297,0.0764701,4.81609,0.112414,0,0.0149298,4.13373,
0.298,0.0761886,4.81533,0.113347,0,0.0126083,4.13368,
0.299,0.0759074,4.81456,0.114281,0,0.0102944,4.13363,
0.3,0.0756265,4.8138,0.115219,0,0.00798831,4.13356,
0.301,0.0753458,4.81303,0.116159,0,0.00568984,4.13348,
0.302,0.0750655,4.81226,0.117101,0,0.00339901,4.13339,
0.303,0.0747856,4.81148,0.118046,0,0.00111579,4.13329,
0.304,0.0745059,4.8107,0.118993,0,-0.00115986,4.13317,
0.305,0.0742265,4.80992,0.119942,0,-0.00342796,4.13305,
0.306,0.0739475,4.80914,0.120894,0,-0.00568854,4.13291,
0.307,0.0736688,4.80835,0.121848,0,-0.00794165,4.13276,
0.308,0.0733905,4.80756,0.122805,0,-0.0101873,4.1326,
0.309,0.0731125,4.80676,0.123763,0,-0.0124256,4.13242,
0.31,0.0728348,4.80597,0.124724,0,-0.0146564,4.13224,
0.311,0.0725575,4.80517,0.125687,0,-0.01688,4.13204,
0.312,0.0722805,4.80436,0.126652,0,-0.0190962,4.13183,
0.313,0.0720039,4.80356,0.127619,0,-0.0213052,4.1316,
0.314,0.0717276,4.80275,0.128589,0,-0.0235069,4.13136,
0.315,0.0714517,4.80194,0.12956,0,-0.0257015,4.13111,
0.316,0.0711762,4.80112,0.130533,0,-0.0278889,4.13085,
0.317,0.0709011,4.8003,0.131509,0,-0.0300692,4.13058,
0.318,0.0706263,4.79948,0.132486,0,-0.0322424,4.13029,
0.319,0.0703519,4.79866,0.133466,0,-0.0344086,4.12999,
0.32,0.0700778,4.79783,0.134447,0,-0.0365679,4.12967,
0.321,0.0698042,4.797,0.135431,0,-0.0387202,4.12934,
